expr,time,date,comment
checkCircuiBreaker(),709587966,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),732326173,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),736250986,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),732330361,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),739477949,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),799495853,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),731307932,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),732762787,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),735563606,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),741815455,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),731835375,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),740955840,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),726742071,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),734817071,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),739050235,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),737794316,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),736073251,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),734032318,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),738360500,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),732828227,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),732465691,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),738870406,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),736503583,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),743944341,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),732749961,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),738863077,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),743576307,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),737723640,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),737812377,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),750931208,2017-01-27T10:21:16.739683Z,readLines
checkCircuiBreaker(),719322778,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),767274907,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),741011594,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),740463994,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),736797800,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),742571415,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),741427529,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),739994400,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),743699334,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),745889732,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),738996575,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),745415163,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),743403546,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),754767808,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),744634075,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),745659647,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),744486181,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),744946877,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),745610697,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),759504858,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),746586011,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),743422393,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),749486299,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),749955371,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),755063333,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),752007822,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),744564970,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),750603748,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),752635781,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),750426799,2017-01-27T10:45:10.572928Z,readr
checkCircuiBreaker(),710748605,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),687330087,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),685542797,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),692480454,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),675561408,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),741584846,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),680662565,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),740801401,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),681403342,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),681280577,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),685942765,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),683707605,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),736852246,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),681947016,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),682166631,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),683858379,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),684172751,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),681797028,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),680767530,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),743206442,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),678299668,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),683704726,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),675043911,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),686610249,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),677823529,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),683708652,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),682438075,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),748198969,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),680271759,2017-01-27T10:52:38.200292Z,non-tex-using-readr
checkCircuiBreaker(),678187897,2017-01-27T10:52:38.200292Z,non-tex-using-readr
